i,promotion,gamma
540,low,1.068181858
541,low,1.185526926
542,low,1.160158041
543,low,1.006939792
544,low,1.128390297
545,low,1.04864171
546,low,1.147527595
547,low,1.160813957
548,low,1.061388634
549,low,1.118828382
550,low,1.114448538
551,low,1.006910536
552,low,1.164664587
553,low,1.005994874
554,low,1.116437066
555,low,1.163129211
556,low,1.007140245
557,low,1.173501181
558,low,1.133849725
559,low,1.141787447
560,low,1.092646081
561,low,1.068515528
562,low,1.174441139
563,low,1.057146079
564,low,1.146435536
565,low,1.013174012
566,low,1.047383399
567,low,1.112041088
568,low,1.181057784
569,low,1.123413544
570,low,1.199097584
571,low,1.017071806
572,low,1.045451582
573,low,1.186196559
574,low,1.155361419
575,low,1.155553599
576,low,1.168672936
577,low,1.102351988
578,low,1.012838034
579,low,1.152354742
580,low,1.001146536
581,low,1.01369957
582,low,1.159566248
583,low,1.085448887
584,low,1.071112754
585,low,1.081052539
586,low,1.130585259
587,low,1.075287018
588,low,1.079570312
589,low,1.153552049
590,low,1.183269279
591,low,1.029314867
592,low,1.177064751
593,low,1.092474582
594,low,1.061800993
595,low,1.03271687
596,low,1.038269379
597,low,1.171901233
598,low,1.180322934
599,low,1.196879188
600,low,1.101395026
601,low,1.195614821
602,low,1.149663542
603,low,1.157627986
604,low,1.010369994
605,low,1.1313778
606,low,1.151632577
607,low,1.1474402
608,low,1.184081226
609,low,1.029766063
610,low,1.075836737
611,low,1.057314354
612,low,1.097291935
613,low,1.149417769
614,low,1.048956148
615,low,1.102898544
616,low,1.037441557
617,low,1.05100288
618,low,1.011975091
619,low,1.051505108
620,low,1.08002607
621,low,1.012656753
622,low,1.073957185
623,low,1.152048083
624,low,1.037932028
625,low,1.082022368
626,low,1.170080143
627,low,1.051841221
632,low,1.07056178
633,low,1.012594775
635,low,1.137405245
636,low,1.191322716
638,low,1.063608875
644,low,1.094069214
645,low,1.012817723
648,low,1.086591432
651,low,1.053284183
652,low,1.034303364
653,low,1.130452352
655,low,1.081106778
657,low,1.193578042
658,low,1.078125934
659,low,1.12079356
660,low,1.018417676
661,low,1.114733586
662,low,1.096213873
663,low,1.007889105
664,low,1.105917983
665,low,1.153089216
666,low,1.105399919
667,low,1.193275276
668,low,1.105696427
669,low,1.023238913
670,low,1.007297062
671,low,1.195583008
672,low,1.107391495
673,low,1.104323499
674,low,1.18739026
675,low,1.148149407
676,low,1.198785844
677,low,1.12478237
678,low,1.100324855
679,low,1.157329926
680,low,1.184665202
681,low,1.181395669
682,low,1.190493541
683,low,1.127991636
684,low,1.186617525
685,low,1.051140036
686,low,1.166861609
687,low,1.144629752
688,low,1.081329709
689,low,1.066722938
690,low,1.171480605
691,low,1.167320431
692,low,1.092791208
693,low,1.055023158
694,low,1.069619182
695,low,1.194585363
696,low,1.197545604
697,low,1.01899464
698,low,1.025813546
699,low,1.138870203
700,low,1.044462128
701,low,1.130653064
702,low,1.072744159
703,low,1.12486548
704,low,1.148210657
705,low,1.185540475
706,low,1.165342296
707,low,1.187826621
708,low,1.178447554
709,low,1.139541058
710,low,1.17368538
711,low,1.025538461
712,low,1.094808718
713,low,1.07092683
714,low,1.005241067
715,low,1.132552534
716,low,1.004650228
717,low,1.05190822
718,low,1.009771843
719,low,1.194634001
720,low,1.010513477
721,low,1.177840917
722,low,1.149906304
723,low,1.160594784
724,low,1.172606104
725,low,1.07090741
726,low,1.141419725
727,low,1.120331822
728,low,1.179495381
729,low,1.109232701
730,low,1.115024139
731,low,1.132765706
732,low,1.042775083
733,low,1.047547236
735,low,1.055041272
736,low,1.004919105
738,low,1.102874777
739,low,1.125037882
742,low,1.082430025
744,low,1.164249158
745,low,1.138441107
746,low,1.113846371
749,low,1.151670731
750,low,1.049247414
751,low,1.051236496
752,low,1.151681235
753,low,1.163426457
754,low,1.129009984
755,low,1.100642262
756,low,1.134047228
757,low,1.143583737
758,low,1.015792583
759,low,1.107988554
760,low,1.19999376
761,low,1.089085563
762,low,1.155306947
763,low,1.116420358
764,low,1.175360904
765,low,1.10888445
766,low,1.036661948
767,low,1.03241716
768,low,1.010741046
769,low,1.192153363
770,low,1.057415878
771,low,1.134508511
772,low,1.014538799
773,low,1.146110205
774,low,1.039492366
775,low,1.033285372
776,low,1.014206051
777,low,1.097746552
778,low,1.055822768
779,low,1.198507257
780,low,1.121524366
781,low,1.071711038
782,low,1.039297427
783,low,1.002487758
784,low,1.16171616
785,low,1.064564654
786,low,1.131797913
787,low,1.194929683
788,low,1.117671108
789,low,1.136624981
790,low,1.155312021
791,low,1.033529855
792,low,1.066808164
793,low,1.159508562
794,low,1.038573868
795,low,1.15728122
796,low,1.11437528
797,low,1.019425911
798,low,1.153629309
799,low,1.050639095
800,low,1.137523371
801,low,1.13110973
802,low,1.026572179
803,low,1.121468061
804,low,1.050448334
805,low,1.084264353
806,low,1.142341017
807,low,1.026329644
809,low,1.171184888
810,low,1.199276845
812,low,1.02411815
813,low,1.050054874
817,low,1.105163066
818,low,1.026622947
821,low,1.096984446
823,low,1.005177656
824,low,1.011661899
825,low,1.07975511
826,low,1.028506049
827,low,1.165397495
828,low,1.079281769
829,low,1.199683712
830,low,1.003392985
831,low,1.168554704
832,low,1.046994582
833,low,1.025674944
834,low,1.049931909
835,low,1.141263854
836,low,1.091989542
837,low,1.160946575
838,low,1.133976413
839,low,1.161899626
840,low,1.167437399
841,low,1.056613847
842,low,1.044522645
843,low,1.155663176
844,low,1.122916419
845,low,1.027764264
846,low,1.093210067
847,low,1.100984013
848,low,1.086788511
849,low,1.060886949
850,low,1.133104368
851,low,1.181952063
852,low,1.024904036
853,low,1.117009047
854,low,1.156409904
855,low,1.072551179
856,low,1.094968715
857,low,1.126672443
858,low,1.132388775
859,low,1.040582045
860,low,1.018163629
861,low,1.140713004
862,low,1.085002989
863,low,1.149975627
864,low,1.0530569
865,low,1.187564551
866,low,1.015384556
867,low,1.019210077
868,low,1.084056959
869,low,1.17770525
870,low,1.065017128
871,low,1.128820527
872,low,1.128446733
873,low,1.029184437
874,low,1.082129806
875,low,1.113712694
876,low,1.136772986
877,low,1.051955094
878,low,1.057510326
879,low,1.194195988
880,low,1.091744193
881,low,1.156625546
882,low,1.05238429
883,low,1.171672766
884,low,1.176542105
885,low,1.021393993
886,low,1.061578246
887,low,1.174244901
888,low,1.054991184
889,low,1.192073671
890,low,1.144779665
891,low,1.089499178
892,low,1.049388204
893,low,1.151992419
894,low,1.010105763
895,low,1.031782154
896,low,1.161121395
897,low,1.05315251
898,low,1.008334425
899,low,1.003978505
900,low,1.083292976
901,low,1.128162681
902,low,1.163102316
903,low,1.101516685
904,low,1.016776512
905,low,1.128535215
906,low,1.073433191
907,low,1.023297379
908,low,1.006400684
909,low,1.079655609
910,low,1.130592428
911,low,1.101513503
912,low,1.134563879
913,low,1.041946178
914,low,1.008087555
915,low,1.158822939
916,low,1.164428015
917,low,1.024182526
918,low,1.178024106
919,low,1.199613468
920,low,1.097820034
921,low,1.135846479
922,low,1.105005394
923,low,1.144647679
924,low,1.173572736
925,low,1.125788182
926,low,1.1048885
927,low,1.024695021
928,low,1.129818457
929,low,1.032180293
930,low,1.172786455
931,low,1.178440547
932,low,1.108000982
933,low,1.046344788
934,low,1.069749982
935,low,1.147077638
936,low,1.042593738
937,low,1.169736403
938,low,1.018043374
939,low,1.087642814
940,low,1.041251049
941,low,1.124787685
942,low,1.133756386
943,low,1.058531381
944,low,1.01964921
945,low,1.110412417
946,low,1.10231537
947,low,1.106678077
948,low,1.030175944
949,low,1.102480133
950,low,1.008149526
951,low,1.060823962
952,low,1.022385384
953,low,1.048021258
954,low,1.153131956
955,low,1.171325423
956,low,1.150288173
957,low,1.128467896
958,low,1.184706078
959,low,1.162245841
960,low,1.01865447
961,low,1.001024604
962,low,1.168564697
963,low,1.071423079
964,low,1.122279095
965,low,1.000111379
966,low,1.026314652
967,low,1.072333529
968,low,1.04405109
969,low,1.174857515
970,low,1.136270629
971,low,1.019161787
972,low,1.012857894
973,low,1.03885914
974,low,1.084813087
975,low,1.02561945
976,low,1.055351213
977,low,1.031049489
978,low,1.028744763
979,low,1.084276343
980,low,1.164936945
981,low,1.184788656
982,low,1.141311596
983,low,1.002392206
984,low,1.190486513
985,low,1.088873824
986,low,1.024895614
987,low,1.147745808
988,low,1.033705699
989,low,1.099098626
990,low,1.065567788
991,low,1.033616451
992,low,1.130031878
993,low,1.082263218
994,low,1.16737037
995,low,1.163868704
996,low,1.190601786
997,low,1.074571484
998,low,1.190203106
999,low,1.114473484
1000,low,1.140307398
1001,low,1.176919276
1002,low,1.049637423
1003,low,1.121348308
1004,low,1.084411206
1005,low,1.064071259
1006,low,1.067654164
1007,low,1.171772526
1008,low,1.026592625
1009,low,1.056464787
1010,low,1.043346662
1011,low,1.115542904
1012,low,1.031764725
1013,low,1.014038281
1014,low,1.100989882
1015,low,1.19610724
1016,low,1.104840253
1017,low,1.026514272
1018,low,1.162888412
1019,low,1.161271134
1020,low,1.196734579
1021,low,1.079652866
1022,low,1.065824022
1023,low,1.184961438
1024,low,1.000976863
1025,low,1.038852109
1026,low,1.179838485
1027,low,1.002540559
1028,low,1.067283755
1029,low,1.18942683
1030,low,1.11193707
1031,low,1.050537443
1032,low,1.053368272
1033,low,1.021272917
1034,low,1.036947191
1035,low,1.145491715
1036,low,1.160464014
1037,low,1.062944852
1038,low,1.174204362
1039,low,1.138991982
1040,low,1.091633042
1041,low,1.051887963
1042,low,1.030561044
1043,low,1.119450068
1044,low,1.172573973
1045,low,1.057549222
1046,low,1.059024555
1047,low,1.002201677
1048,low,1.034971578
1049,low,1.015538328
1050,low,1.125908963
1051,low,1.147056914
1052,low,1.104806643
1053,low,1.028691656
1054,low,1.124177829
1055,low,1.080260357
1056,low,1.096721948
1057,low,1.036399858
1058,low,1.044487956
1059,low,1.055001732
1060,low,1.180428847
1061,low,1.107047282
1062,low,1.15696465
1063,low,1.174472277
1064,low,1.143413575
1065,low,1.139509225
1066,low,1.166643075
1067,low,1.052297466
1068,low,1.074522666
1069,low,1.031120563
1070,low,1.104243767
1071,low,1.095901458
1072,low,1.056021237
1073,low,1.133474564
1074,low,1.02521908
1075,low,1.176527607
1076,low,1.10992592
1077,low,1.089042463
1078,low,1.150272769
1079,low,1.12215454
1080,low,1.016356235
1081,low,1.131207202
1082,low,1.034574602
1083,low,1.089798473
1084,low,1.079720303
1087,low,1.022387133
1088,low,1.17430842
1089,low,1.030759927
1090,low,1.108577361
1091,low,1.099041288
1098,low,1.181393664
1104,low,1.077620501
1105,low,1.095699187
1106,low,1.038000043
1107,low,1.16894957
1113,low,1.091578044
1114,low,1.008736637
1116,low,1.17083561
1118,low,1.146007954
1119,low,1.065174422
1120,low,1.102445491
1121,low,1.173956473
1122,low,1.186127962
1123,low,1.120014367
1124,low,1.082067483
1125,low,1.197927524
1126,low,1.10998033
1127,low,1.040467973
1128,low,1.153101018
1129,low,1.110302307
1130,low,1.12179101
1131,low,1.150108805
1132,low,1.01111538
1133,low,1.077686441
1134,low,1.039962983
1135,low,1.01563441
1136,low,1.02666706
1137,low,1.150515613
1138,low,1.198994876
1139,low,1.085542052
1140,low,1.098445485
1141,low,1.152700229
1142,low,1.142889594
1143,low,1.004058964
1144,low,1.033345943
1145,low,1.02656713
1146,low,1.183005694
1147,low,1.181288641
1148,low,1.158457673
1149,low,1.107756691
1150,low,1.113950132
1151,low,1.155832435
1152,low,1.064790857
1153,low,1.000518137
1154,low,1.177975032
1155,low,1.036474282
1156,low,1.15872276
1157,low,1.097788343
1158,low,1.123266117
1159,low,1.085044708
1160,low,1.081748756
1161,low,1.191209726
1162,low,1.180321063
1163,low,1.10548352
1164,low,1.111844095
1165,low,1.17611571
1166,low,1.07327911
1167,low,1.029405957
1168,low,1.061979028
1169,low,1.146210217
1170,low,1.012810423
1171,low,1.055253101
1172,low,1.14358188
1173,low,1.169728687
1174,low,1.064388651
1175,low,1.157505367
1176,low,1.181763415
1177,low,1.002960049
1178,low,1.158785127
1179,low,1.105884511
1180,low,1.138151692
1181,low,1.020153772
1182,low,1.090718665
1183,low,1.058490268
1184,low,1.118122963
1185,low,1.085358967
1186,low,1.065882426
1187,low,1.104974431
1188,low,1.044634896
1189,low,1.062441995
1190,low,1.076866896
1191,low,1.007821887
1192,low,1.067524259
1193,low,1.13674859
1194,low,1.057039596
1195,low,1.182736563
1196,low,1.118075881
1197,low,1.102262598
1198,low,1.107766691
1199,low,1.176192869
1200,low,1.042663146
1201,low,1.184789468
1202,low,1.056291991
1203,low,1.094220599
1204,low,1.110846567
1205,low,1.177277727
1206,low,1.078423732
1207,low,1.191388435
1208,low,1.068138588
1209,low,1.154309797
1210,low,1.115074005
1211,low,1.081168069
1212,low,1.118997811
1213,low,1.018379217
1214,low,1.132334665
1215,low,1.05209276
1216,low,1.003756612
1217,low,1.00597942
1218,low,1.155471604
1219,low,1.008251055
1220,low,1.049227644
1221,low,1.08337973
1222,low,1.080187293
1223,low,1.074768327
1224,low,1.162731434
1225,low,1.132793801
1226,low,1.038522403
1227,low,1.153633512
1228,low,1.181451714
1229,low,1.004901132
1230,low,1.043698019
1231,low,1.173252247
1232,low,1.134637178
1233,low,1.186462703
1234,low,1.166120621
1235,low,1.033673808
1236,low,1.001549655
1237,low,1.15037846
1238,low,1.034793007
1239,low,1.096784617
1240,low,1.046211789
1241,low,1.079936097
1242,low,1.006696432
1243,low,1.086187687
1244,low,1.011119817
1245,low,1.185328264
1246,low,1.01227159
1247,low,1.079406577
1248,low,1.163874858
1249,low,1.057033973
1250,low,1.047609453
1251,low,1.117249204
1252,low,1.176129449
1253,low,1.129947611
1254,low,1.021156138
1255,low,1.192993117
1256,low,1.129424395
1257,low,1.038295953
1258,low,1.15722758
1259,low,1.064529366
1260,low,1.065811653
1261,low,1.117364479
1262,low,1.144124667
1263,low,1.196179432
1264,low,1.18736722
1265,low,1.049632312
1266,low,1.191320606
1267,low,1.011242035
1268,low,1.037936889
1269,low,1.061704085
1270,low,1.065656154
1271,low,1.090639217
1272,low,1.09132571
1273,low,1.157799694
1274,low,1.190933619
1275,low,1.179223391
1276,low,1.17488854
1277,low,1.038218237
1278,low,1.145220991
1279,low,1.075833242
1280,low,1.160117675
1281,low,1.0733331
1282,low,1.178416049
1283,low,1.070307122
1284,low,1.184977955
1285,low,1.111346601
1286,low,1.048949822
1287,low,1.100409919
1288,low,1.182402163
1289,low,1.042486467
1290,low,1.084632826
1291,low,1.079986376
1292,low,1.181129985
1293,low,1.015473879
1294,low,1.071714571
1295,low,1.020300021
1296,low,1.035838822
1297,low,1.080736106
1298,low,1.151933905
1299,low,1.008826116
1300,low,1.065868711
1301,low,1.103011254
1302,low,1.045916204
1303,low,1.110694791
1304,low,1.046733073
1305,low,1.038889732
1306,low,1.099017859
1307,low,1.06116352
1308,low,1.054841425
1309,low,1.123880034
1310,low,1.169243506
1311,low,1.065568185
1312,low,1.013017911
1313,low,1.147584771
1314,low,1.132393275
1315,low,1.017000754
1316,low,1.123680071
1317,low,1.09559224
1318,low,1.093342774
1319,low,1.158606861
1320,low,1.130925124
1321,low,1.133271542
1322,low,1.128954448
1323,low,1.092056945
1324,low,1.159834818
1325,low,1.130940996
1326,low,1.152946602
1327,low,1.03181382
1328,low,1.038196654
1329,low,1.04328561
1330,low,1.063774118
1331,low,1.160826439
1332,low,1.101266668
1333,low,1.156163737
1334,low,1.015807477
1335,low,1.155120046
1336,low,1.062489557
1337,low,1.130182564
1338,low,1.196898258
1339,low,1.111663474
1340,low,1.099651378
1341,low,1.020543335
1342,low,1.093382681
1343,low,1.044412721
1344,low,1.192537997
1345,low,1.017187509
1346,low,1.069476338
1347,low,1.12225946
1348,low,1.07583656
1349,low,1.148733234
1350,low,1.018876732
1351,low,1.07498609
1352,low,1.106406599
1353,low,1.048892632
1354,low,1.119218604
1355,low,1.062826364
1356,low,1.053334546
1357,low,1.056717507
1358,low,1.139999876
1359,low,1.043415154
1360,low,1.049408555
1361,low,1.166471198
1362,low,1.09183951
1363,low,1.191769389
1364,low,1.015256798
1365,low,1.079404192
1366,low,1.118806444
1367,low,1.185159741
1368,low,1.107479055
1369,low,1.181015126
1370,low,1.009871003
1371,low,1.017785784
1372,low,1.101498565
1373,low,1.089584372
1374,low,1.004829658
1375,low,1.119230857
1376,low,1.149406566
1377,low,1.157231081
1378,low,1.015743859
1379,low,1.099673004
1380,low,1.095193495
1381,low,1.063713444
1382,low,1.007458715
1383,low,1.041618422
1384,low,1.18478111
1385,low,1.139965041
1386,low,1.192960642
1387,low,1.079069162
1388,low,1.193843292
1389,low,1.184580214
1390,low,1.109186929
1391,low,1.045953344
1392,low,1.166385209
1393,low,1.110819195
1394,low,1.049769822
1395,low,1.075421163
1396,low,1.018578437
1397,low,1.113104979
1398,low,1.154422238
1399,low,1.047299795
1400,low,1.193491017
1401,low,1.117996394
1402,low,1.087644914
1403,low,1.052682884
1404,low,1.018395874
1405,low,1.129987641
1406,low,1.168589684
1407,low,1.091811935
1408,low,1.040894655
1409,low,1.090982267
1410,low,1.093368
1411,low,1.033231082
1412,low,1.049141816
1413,low,1.043296255
1414,low,1.173915307
1415,low,1.156395135
1416,low,1.080114823
1417,low,1.199604343
1418,low,1.19735126
1419,low,1.018238298
1420,low,1.07750462
1421,low,1.08373807
1422,low,1.017783436
1423,low,1.064491653
1424,low,1.039642692
1425,low,1.010331611
1426,low,1.112254272
1427,low,1.093465913
1428,low,1.147491405
1429,low,1.127600533
1430,low,1.033566515
1431,low,1.102752032
1432,low,1.046049721
1433,low,1.196116611
1434,low,1.108000173
1435,low,1.003740174
1436,low,1.088798297
1437,low,1.024109233
1438,low,1.146147994
1439,low,1.016757772
1440,low,1.021818613
1441,low,1.157483601
1442,low,1.19523102
1443,low,1.099867128
1444,low,1.104749323
1445,low,1.048763972
1446,low,1.175002233
1447,low,1.057329431
1448,low,1.152499716
1449,low,1.063041987
1450,low,1.196842343
1451,low,1.190950691
1452,low,1.037295711
1453,low,1.151003246
1454,low,1.020234947
1455,low,1.160775809
1456,low,1.023275795
1457,low,1.112301253
1458,low,1.111507137
1459,low,1.127944186
1460,low,1.103943518
1461,low,1.112828327
1462,low,1.196142469
1463,low,1.124215831
1464,low,1.016507118
1470,low,1.095059917
1473,low,1.082586676
1478,low,1.131117093
1482,low,1.092699444
1483,low,1.10386783
1484,low,1.069882759
1487,low,1.171293722
1490,low,1.176211832
1491,low,1.110462777
1492,low,1.040424244
1493,low,1.082079913
1494,low,1.02408384
1495,low,1.086109946
1496,low,1.086629644
1497,low,1.192233038
1498,low,1.086425452
1499,low,1.125438175
1500,low,1.147558246
1501,low,1.16664602
1502,low,1.139432979
1503,low,1.014095484
1504,low,1.102193693
1505,low,1.061020759
1506,low,1.079292147
1507,low,1.10691704
1508,low,1.17787084
1509,low,1.110844002
1510,low,1.14727889
1511,low,1.015208636
1512,low,1.046991264
1513,low,1.174088717
1514,low,1.043531271
1515,low,1.008042868
1516,low,1.180183595
1517,low,1.072719395
1518,low,1.127363214
1519,low,1.150135589
1520,low,1.070424307
1521,low,1.116698334
1522,low,1.199242946
1523,low,1.112753193
1524,low,1.122026522
1525,low,1.180384787
1526,low,1.070957995
1527,low,1.169709916
1528,low,1.196401379
1529,low,1.103867317
1530,low,1.145201539
1531,low,1.157934085
1532,low,1.121281743
1533,low,1.006961253
1534,low,1.043741132
1535,low,1.055816437
1536,low,1.146700945
1537,low,1.016531092
1538,low,1.196359411
1539,low,1.162466172
1540,low,1.004032339
1541,low,1.004936824
1542,low,1.045485459
1543,low,1.109188473
1544,low,1.1065547
1545,low,1.002136483
1546,low,1.023746479
1547,low,1.017047159
1548,low,1.106419273
1549,low,1.038173914
1550,low,1.161333465
1551,low,1.00674207
1552,low,1.144955475
1553,low,1.020107516
1554,low,1.031103206
1555,low,1.096046521
1556,low,1.190821538
1557,low,1.075925321
1558,low,1.132480226
1559,low,1.176757114
1560,low,1.172955491
1561,low,1.109166394
1562,low,1.010176501
1563,low,1.044014585
1564,low,1.000956092
1565,low,1.184624224
1566,low,1.069893047
1567,low,1.019521161
1568,low,1.154047656
1569,low,1.032049254
1570,low,1.102826261
1571,low,1.080831553
1572,low,1.196819062
1573,low,1.010628338
1574,low,1.052836012
1575,low,1.108572694
1576,low,1.105796496
1577,low,1.093352798
1578,low,1.123300849
1579,low,1.062442064
1580,low,1.082169483
1581,low,1.183503231
1582,low,1.117041803
1583,low,1.164526233
1584,low,1.181695868
1585,low,1.126600707
1586,low,1.073487981
1587,low,1.018523534
1588,low,1.151601501
1589,low,1.121503662
1590,low,1.182197417
1591,low,1.192639784
1592,low,1.126046475
1593,low,1.025612371
1594,low,1.1730917
1595,low,1.128329735
1596,low,1.199339474
1597,low,1.119055322
1598,low,1.191238945
1599,low,1.019073865
1600,low,1.015740948
1601,low,1.11331923
1602,low,1.035431113
1603,low,1.088283675
1604,low,1.169951133
1605,low,1.188204546
1606,low,1.198185863
