i,revision,theta
723,low,0.227401845
724,low,0.121317806
725,low,0.113877312
726,low,0.158975294
727,low,0.125523198
728,low,0.19491859
729,low,0.29134652
730,low,0.320526274
731,low,0.336749673
732,low,0.21512353
733,low,0.177968888
735,low,0.295913012
736,low,0.378633675
738,low,0.321417231
739,low,0.196513443
742,low,0.123382274
744,low,0.257179284
745,low,0.189544944
746,low,0.111681734
749,low,0.123223707
750,low,0.160425435
751,low,0.389905724
752,low,0.118722408
753,low,0.395400303
754,low,0.353121679
755,low,0.379573091
756,low,0.374180078
757,low,0.284003224
758,low,0.180888943
759,low,0.361873195
760,low,0.188641211
761,low,0.225054683
762,low,0.133430079
763,low,0.327388673
764,low,0.198320414
765,low,0.103292485
766,low,0.215585635
767,low,0.343708183
768,low,0.235420929
769,low,0.327414017
770,low,0.397481575
771,low,0.238382794
772,low,0.34202743
773,low,0.290846499
774,low,0.319298402
775,low,0.361340971
776,low,0.325399322
777,low,0.297100502
778,low,0.138128575
779,low,0.392029734
780,low,0.302708509
781,low,0.120546778
782,low,0.385720424
783,low,0.185597923
784,low,0.254611911
785,low,0.218628953
786,low,0.175804348
787,low,0.310691805
788,low,0.118594882
789,low,0.100798291
790,low,0.391405459
791,low,0.117726475
792,low,0.244316636
793,low,0.345424222
794,low,0.108515797
795,low,0.206393569
796,low,0.294627653
797,low,0.146153811
798,low,0.109403561
799,low,0.128898837
800,low,0.190325645
801,low,0.240509947
802,low,0.290969861
803,low,0.326321375
804,low,0.193238255
805,low,0.103797786
806,low,0.234856475
807,low,0.331722676
809,low,0.22247232
810,low,0.265211899
812,low,0.124692651
813,low,0.380517033
817,low,0.381536203
818,low,0.187079409
821,low,0.333732127
823,low,0.336712548
824,low,0.380380982
825,low,0.200861477
826,low,0.243331891
827,low,0.305544266
828,low,0.398981157
829,low,0.380947488
830,low,0.256308108
831,low,0.115449912
832,low,0.109701172
833,low,0.202755503
834,low,0.133547899
835,low,0.124076405
836,low,0.29159312
837,low,0.201448516
838,low,0.337766736
839,low,0.312291871
840,low,0.324411247
841,low,0.35305389
842,low,0.327851215
843,low,0.386701496
844,low,0.123397632
845,low,0.154736721
846,low,0.263907545
847,low,0.367394703
848,low,0.251883625
849,low,0.173609561
850,low,0.382425832
851,low,0.184016635
852,low,0.278659822
853,low,0.132897518
854,low,0.245617919
855,low,0.125589463
856,low,0.253418468
857,low,0.383140066
858,low,0.191787377
859,low,0.12296067
860,low,0.129567778
861,low,0.204710024
862,low,0.288260289
863,low,0.227865858
864,low,0.19594475
865,low,0.152631602
866,low,0.13845416
867,low,0.282783161
868,low,0.353923983
869,low,0.230606937
870,low,0.166672298
871,low,0.249404767
872,low,0.197370684
873,low,0.348738301
874,low,0.245602331
875,low,0.297814719
876,low,0.274462367
877,low,0.138970679
878,low,0.197803294
879,low,0.270107611
880,low,0.345176438
881,low,0.349300291
882,low,0.358493783
883,low,0.32671455
884,low,0.138556156
885,low,0.163873737
886,low,0.326131778
887,low,0.330955805
888,low,0.132799877
889,low,0.296932676
890,low,0.217794523
891,low,0.237321245
892,low,0.265998682
893,low,0.165708325
894,low,0.288597011
895,low,0.229887768
896,low,0.286833276
897,low,0.318564521
898,low,0.19787928
899,low,0.214767505
900,low,0.324327733
901,low,0.355652191
902,low,0.257669761
903,low,0.33305376
904,low,0.302101378
905,low,0.156706701
906,low,0.27090994
907,low,0.350071283
908,low,0.134531108
909,low,0.202428584
910,low,0.211718668
911,low,0.2232398
912,low,0.1861873
913,low,0.276151686
914,low,0.132271209
915,low,0.340517571
916,low,0.256057225
917,low,0.147128603
918,low,0.237666857
919,low,0.349717886
920,low,0.311937168
921,low,0.289823015
922,low,0.22910131
923,low,0.20252584
924,low,0.33936812
925,low,0.214113744
926,low,0.215579189
927,low,0.291739268
928,low,0.144829332
929,low,0.112728523
930,low,0.101894126
931,low,0.113292537
932,low,0.131362363
933,low,0.391154156
934,low,0.399106772
935,low,0.25215698
936,low,0.234962195
937,low,0.149251436
938,low,0.146813856
939,low,0.338411953
940,low,0.368440793
941,low,0.152263262
942,low,0.307494064
943,low,0.397624335
944,low,0.361131207
945,low,0.371296493
946,low,0.268833419
947,low,0.235251906
948,low,0.332816999
949,low,0.268858458
950,low,0.219518858
951,low,0.284808782
952,low,0.26537152
953,low,0.121715385
954,low,0.20650056
955,low,0.390409705
956,low,0.109550654
957,low,0.364133661
958,low,0.314996661
959,low,0.365909782
960,low,0.380330395
961,low,0.382628127
962,low,0.287413976
963,low,0.197674415
964,low,0.338019904
965,low,0.206166555
966,low,0.204864203
967,low,0.350655703
968,low,0.226920812
969,low,0.292519496
970,low,0.153491789
971,low,0.147904704
972,low,0.390415095
973,low,0.26314745
974,low,0.157928477
975,low,0.284387554
976,low,0.158811567
977,low,0.378464377
978,low,0.266136672
979,low,0.235809003
980,low,0.383675798
981,low,0.34695667
982,low,0.246144623
983,low,0.31856887
984,low,0.355989248
985,low,0.27462995
986,low,0.293543111
987,low,0.140578173
988,low,0.352954766
989,low,0.301046062
990,low,0.282343879
991,low,0.167918311
992,low,0.283512524
993,low,0.369061643
994,low,0.397143624
995,low,0.323819656
996,low,0.14945246
997,low,0.211104981
998,low,0.147758343
999,low,0.214589642
1000,low,0.29709991
1001,low,0.3432107
1002,low,0.36822317
1003,low,0.376116226
1004,low,0.24315694
1005,low,0.100170935
1006,low,0.177178911
1007,low,0.166247072
1008,low,0.37340396
1009,low,0.201515033
1010,low,0.140063358
1011,low,0.108653158
1012,low,0.378379457
1013,low,0.308444182
1014,low,0.371447228
1015,low,0.249167838
1016,low,0.165019016
1017,low,0.181100926
1018,low,0.255992817
1019,low,0.271888804
1020,low,0.261771648
1021,low,0.140087765
1022,low,0.358780235
1023,low,0.359054454
1024,low,0.16121244
1025,low,0.335838618
1026,low,0.244538378
1027,low,0.172608455
1028,low,0.359501834
1029,low,0.11146272
1030,low,0.33959325
1031,low,0.38295732
1032,low,0.271839005
1033,low,0.227276739
1034,low,0.114524076
1035,low,0.343396172
1036,low,0.252530998
1037,low,0.211437385
1038,low,0.364257447
1039,low,0.228436883
1040,low,0.267074575
1041,low,0.157329976
1042,low,0.341182906
1043,low,0.314372293
1044,low,0.312824555
1045,low,0.334684597
1046,low,0.142385763
1047,low,0.27103889
1048,low,0.37180551
1049,low,0.310737253
1050,low,0.121578805
1051,low,0.308602906
1052,low,0.286752972
1053,low,0.392296045
1054,low,0.141332659
1055,low,0.320040708
1056,low,0.229262777
1057,low,0.186856807
1058,low,0.102940333
1059,low,0.329058098
1060,low,0.113761393
1061,low,0.154268358
1062,low,0.164331829
1063,low,0.293755749
1064,low,0.288169844
1065,low,0.21853862
1066,low,0.205297047
1067,low,0.393497844
1068,low,0.343402681
1069,low,0.172212433
1070,low,0.295934909
1071,low,0.389349487
1072,low,0.183306135
1073,low,0.288620159
1074,low,0.18602309
1075,low,0.149793504
1076,low,0.314816352
1077,low,0.225414562
1078,low,0.296167957
1079,low,0.279619902
1080,low,0.158533766
1081,low,0.244580324
1082,low,0.113362955
1083,low,0.196949846
1084,low,0.387963322
1087,low,0.334312957
1088,low,0.23934631
1089,low,0.110693775
1090,low,0.349620523
1091,low,0.112631058
1098,low,0.105164052
1104,low,0.262056583
1105,low,0.220708997
1106,low,0.158748092
1107,low,0.343390192
1113,low,0.19574861
1114,low,0.231589638
1116,low,0.145747976
1118,low,0.243603564
1119,low,0.152280981
1120,low,0.151409995
1121,low,0.217140943
1122,low,0.278445637
1123,low,0.213464096
1124,low,0.135918174
1125,low,0.219142356
1126,low,0.312223886
1127,low,0.202332005
1128,low,0.215057693
1129,low,0.160923386
1130,low,0.174257884
1131,low,0.112426821
1132,low,0.121654741
1133,low,0.200658424
1134,low,0.314952261
1135,low,0.19512213
1136,low,0.196623547
1137,low,0.299731612
1138,low,0.231724894
1139,low,0.393382796
1140,low,0.388527922
1141,low,0.251949176
1142,low,0.122519428
1143,low,0.233937811
1144,low,0.226665581
1145,low,0.296418182
1146,low,0.128767912
1147,low,0.132206806
1148,low,0.10863709
1149,low,0.327403488
1150,low,0.151996191
1151,low,0.10140618
1152,low,0.163219978
1153,low,0.319332637
1154,low,0.10013839
1155,low,0.30870789
1156,low,0.273511207
1157,low,0.361824045
1158,low,0.336643831
1159,low,0.275522935
1160,low,0.192717503
1161,low,0.147665134
1162,low,0.140979515
1163,low,0.313238458
1164,low,0.24245671
1165,low,0.370048369
1166,low,0.127629967
1167,low,0.252510587
1168,low,0.204052594
1169,low,0.336197927
1170,low,0.109338335
1171,low,0.351165361
1172,low,0.178199658
1173,low,0.391784362
1174,low,0.117151216
1175,low,0.248118029
1176,low,0.301086714
1177,low,0.346743906
1178,low,0.390585132
1179,low,0.344352077
1180,low,0.17508076
1181,low,0.120534181
1182,low,0.210228485
1183,low,0.241359925
1184,low,0.248367858
1185,low,0.396819483
1186,low,0.121429976
1187,low,0.116031853
1188,low,0.190663855
1189,low,0.150248482
1190,low,0.178025837
1191,low,0.327269033
1192,low,0.280130582
1193,low,0.299501902
1194,low,0.116046738
1195,low,0.278413689
1196,low,0.206561872
1197,low,0.380182974
1198,low,0.144343386
1199,low,0.178622167
1200,low,0.132866733
1201,low,0.219080981
1202,low,0.399404953
1203,low,0.286400401
1204,low,0.173328428
1205,low,0.337971006
1206,low,0.153337574
1207,low,0.10054826
1208,low,0.195084463
1209,low,0.194812833
1210,low,0.332727926
1211,low,0.314608128
1212,low,0.340246123
1213,low,0.153922206
1214,low,0.142757512
1215,low,0.128316662
1216,low,0.376749152
1217,low,0.156788171
1218,low,0.3761594
1219,low,0.231746635
1220,low,0.193545637
1221,low,0.289376483
1222,low,0.107143355
1223,low,0.153660626
1224,low,0.121110605
1225,low,0.109179027
1226,low,0.149133356
1227,low,0.318818329
1228,low,0.136452207
1229,low,0.392602467
1230,low,0.338271509
1231,low,0.301051392
1232,low,0.20459457
1233,low,0.169287389
1234,low,0.328466651
1235,low,0.114774633
1236,low,0.232552161
1237,low,0.128731525
1238,low,0.146569863
1239,low,0.223765967
1240,low,0.303951412
1241,low,0.206143082
1242,low,0.271800584
1243,low,0.337341478
1244,low,0.370826798
1245,low,0.396265208
1246,low,0.282165774
1247,low,0.158512698
1248,low,0.262212252
1249,low,0.254087555
1250,low,0.130324185
1251,low,0.197770311
1252,low,0.206257818
1253,low,0.300929853
1254,low,0.217647854
1255,low,0.325906982
1256,low,0.101419985
1257,low,0.133707571
1258,low,0.15897836
1259,low,0.3997048
1260,low,0.110448115
1261,low,0.39564864
1262,low,0.173969198
1263,low,0.391749258
1264,low,0.282421045
1265,low,0.159893036
1266,low,0.381392969
1267,low,0.268153267
1268,low,0.191934462
1269,low,0.185578948
1270,low,0.161046255
1271,low,0.384993125
1272,low,0.206734127
1273,low,0.279760626
1274,low,0.193659994
1275,low,0.244394933
1276,low,0.384522792
1277,low,0.111178743
1278,low,0.31445031
1279,low,0.23786583
1280,low,0.388701295
1281,low,0.134911672
1282,low,0.140839294
1283,low,0.325143786
1284,low,0.150907974
1285,low,0.331069337
1286,low,0.250578616
1287,low,0.104479044
1288,low,0.228056993
1289,low,0.196073799
1290,low,0.230290852
1291,low,0.214961283
1292,low,0.248734943
1293,low,0.369735527
1294,low,0.336939294
1295,low,0.118537358
1296,low,0.148330476
1297,low,0.24800579
1298,low,0.367668559
1299,low,0.362826587
1300,low,0.295480725
1301,low,0.399400304
1302,low,0.111560335
1303,low,0.15232269
1304,low,0.172813533
1305,low,0.161773134
1306,low,0.262048833
1307,low,0.295881373
1308,low,0.125128216
1309,low,0.25589753
1310,low,0.373964195
1311,low,0.392325441
1312,low,0.130559503
1313,low,0.371950431
1314,low,0.25809817
1315,low,0.32340042
1316,low,0.151034182
1317,low,0.128021206
1318,low,0.145135647
1319,low,0.348603828
1320,low,0.240322578
1321,low,0.11733516
1322,low,0.399371246
1323,low,0.200433401
1324,low,0.19732708
1325,low,0.261716917
1326,low,0.183855521
1327,low,0.222050931
1328,low,0.340603977
1329,low,0.395433114
1330,low,0.143145832
1331,low,0.395611387
1332,low,0.252994665
1333,low,0.172423837
1334,low,0.100027652
1335,low,0.345418789
1336,low,0.32365004
1337,low,0.293857199
1338,low,0.176611767
1339,low,0.137619308
1340,low,0.108708197
1341,low,0.167042623
1342,low,0.231062925
1343,low,0.180811587
1344,low,0.258769595
1345,low,0.14906418
1346,low,0.251916237
1347,low,0.216432801
1348,low,0.385458276
1349,low,0.314133174
1350,low,0.343951927
1351,low,0.114434682
1352,low,0.101530807
1353,low,0.146827656
1354,low,0.337495154
1355,low,0.278369389
1356,low,0.333923287
1357,low,0.335616142
1358,low,0.244359298
1359,low,0.130541785
1360,low,0.316478087
1361,low,0.126098078
1362,low,0.140858343
1363,low,0.154910016
1364,low,0.291094269
1365,low,0.338486066
1366,low,0.363296386
1367,low,0.302067735
1368,low,0.278298671
1369,low,0.168544176
1370,low,0.221536244
1371,low,0.219932358
1372,low,0.310847987
1373,low,0.184364831
1374,low,0.268088663
1375,low,0.318527129
1376,low,0.315243958
1377,low,0.231557953
1378,low,0.165375265
1379,low,0.166499334
1380,low,0.283798743
1381,low,0.396894146
1382,low,0.306185001
1383,low,0.159775561
1384,low,0.270343699
1385,low,0.368185089
1386,low,0.193179084
1387,low,0.242077045
1388,low,0.369361875
1389,low,0.218067866
1390,low,0.36506719
1391,low,0.105646399
1392,low,0.283357257
1393,low,0.160385034
1394,low,0.395876396
1395,low,0.279014963
1396,low,0.113145419
1397,low,0.386205884
1398,low,0.367545426
1399,low,0.222919093
1400,low,0.262451233
1401,low,0.178013903
1402,low,0.114066297
1403,low,0.124244659
1404,low,0.248035001
1405,low,0.148642742
1406,low,0.366258338
1407,low,0.330037741
1408,low,0.128388969
1409,low,0.118053141
1410,low,0.291626274
1411,low,0.297150003
1412,low,0.299403454
1413,low,0.21705343
1414,low,0.20450474
1415,low,0.257097572
1416,low,0.181364816
1417,low,0.186989808
1418,low,0.342311388
1419,low,0.308372268
1420,low,0.17263384
1421,low,0.32887268
1422,low,0.362355071
1423,low,0.360736705
1424,low,0.287997571
1425,low,0.309551615
1426,low,0.311149866
1427,low,0.18009172
1428,low,0.362171865
1429,low,0.259501217
1430,low,0.377475832
1431,low,0.129911955
1432,low,0.298196267
1433,low,0.358378706
1434,low,0.216612344
1435,low,0.263976502
1436,low,0.247093927
1437,low,0.264984251
1438,low,0.102584976
1439,low,0.116393551
1440,low,0.333912215
1441,low,0.232672137
1442,low,0.258272566
1443,low,0.266137278
1444,low,0.29105447
1445,low,0.335049201
1446,low,0.14686281
1447,low,0.148966122
1448,low,0.141150263
1449,low,0.140373081
1450,low,0.264976751
1451,low,0.203073683
1452,low,0.287214553
1453,low,0.342341111
1454,low,0.393531179
1455,low,0.270807326
1456,low,0.312022318
1457,low,0.310563016
1458,low,0.251047889
1459,low,0.262386262
1460,low,0.128066231
1461,low,0.344885998
1462,low,0.104953947
1463,low,0.229490591
1464,low,0.239539591
1470,low,0.372820504
1473,low,0.295390799
1478,low,0.186769603
1482,low,0.328506016
1483,low,0.139681763
1484,low,0.358597912
1487,low,0.202888391
1490,low,0.149632146
1491,low,0.249173267
1492,low,0.169688874
1493,low,0.309737477
1494,low,0.387743874
1495,low,0.270562751
1496,low,0.153771329
1497,low,0.13147729
1498,low,0.383908194
1499,low,0.16517501
1500,low,0.266534433
1501,low,0.16333446
1502,low,0.337600345
1503,low,0.287626665
1504,low,0.331089434
1505,low,0.14648758
1506,low,0.328660767
1507,low,0.386559432
1508,low,0.304071463
1509,low,0.183261512
1510,low,0.272412759
1511,low,0.389288067
1512,low,0.170874386
1513,low,0.21456746
1514,low,0.103422235
1515,low,0.142311629
1516,low,0.284607236
1517,low,0.197369415
1518,low,0.212061823
1519,low,0.311900172
1520,low,0.350338726
1521,low,0.181966497
1522,low,0.104780802
1523,low,0.293171066
1524,low,0.348873121
1525,low,0.330954981
1526,low,0.355622729
1527,low,0.379279637
1528,low,0.395835648
1529,low,0.2067995
1530,low,0.163715869
1531,low,0.206879331
1532,low,0.370620363
1533,low,0.269889555
1534,low,0.174451349
1535,low,0.121281039
1536,low,0.207180213
1537,low,0.383615506
1538,low,0.197968403
1539,low,0.364513173
1540,low,0.252334012
1541,low,0.213577059
1542,low,0.17142377
1543,low,0.244339835
1544,low,0.360113406
1545,low,0.176446292
1546,low,0.391266619
1547,low,0.211711447
1548,low,0.282221103
1549,low,0.380368965
1550,low,0.367328137
1551,low,0.183205125
1552,low,0.20559554
1553,low,0.378953863
1554,low,0.195308559
1555,low,0.179510445
1556,low,0.383802174
1557,low,0.331346416
1558,low,0.338952618
1559,low,0.372085904
1560,low,0.323051231
1561,low,0.269815869
1562,low,0.338053079
1563,low,0.128900539
1564,low,0.138518941
1565,low,0.287824706
1566,low,0.139769788
1567,low,0.398790119
1568,low,0.247601667
1569,low,0.386025824
1570,low,0.135935621
1571,low,0.200125893
1572,low,0.305355238
1573,low,0.280025272
1574,low,0.136172045
1575,low,0.187211524
1576,low,0.227876625
1577,low,0.165881385
1578,low,0.373836418
1579,low,0.32954273
1580,low,0.397079225
1581,low,0.178034116
1582,low,0.281575012
1583,low,0.316058947
1584,low,0.367220073
1585,low,0.370544876
1586,low,0.262033022
1587,low,0.257004401
1588,low,0.332016565
1589,low,0.333194305
1590,low,0.280241871
1591,low,0.115039128
1592,low,0.214900485
1593,low,0.369574032
1594,low,0.224917481
1595,low,0.36499505
1596,low,0.37662251
1597,low,0.343595571
1598,low,0.244402489
1599,low,0.332117505
1600,low,0.337274301
1601,low,0.148218195
1602,low,0.380615581
1603,low,0.298529587
1604,low,0.29729421
1605,low,0.340984395
1606,low,0.167497799
